Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Mercy Home & Community Care - EACH - Eastern,259 Jasper Road,,MCKINNON,VIC,3204,Eastern Metro,Home Care Places,,,2,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$99,893"
Mercy Home & Community Care - EACH Southern,259 Jasper Road,,MCKINNON,VIC,3204,Southern Metro,Home Care Places,,,10,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$458,365"
Mercy Home & Community Care - EACHD Southern,259 Jasper Road,,MCKINNON,VIC,3204,Southern Metro,Home Care Places,,,5,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$244,108"
Mercy Home & Community Care - Southern Metro CALD,Level 2,12 Shelley Street,RICHMOND,VIC,3121,Southern Metro,Home Care Places,,4,3,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$21,997"
Mercy Home & Community Care - Whittlesea,67 Cade Way,,PARKVILLE,VIC,3052,Northern Metro,Home Care Places,,10,5,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$59,705"
Mercy Home & Community Care - Yarra Ranges,259 Jasper Road,,MCKINNON,VIC,3204,Eastern Metro,Home Care Places,,10,10,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$145,926"
Mercy Home and Community Care,259 Jasper Rd Road,,MCKINNON,VIC,3204,Eastern Metro,Home Care Places,,25,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$335,330"
Mercy Home Care Services - Adelaide,4 Victoria Street,,MILE END,SA,5031,Metropolitan East,Home Care Places,,15,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$181,145"
Mercy Place Abbotsford Hostel,2 Clarke Street,,ABBOTSFORD,VIC,3067,Northern Metro,Residential,35,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$1,376,503"
Mercy Place Abbottsford Nursing Home,2 Clarke Street,,ABBOTSFORD,VIC,3067,Northern Metro,Residential,49,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$2,446,592"
Mercy Place Albury,578 Poole Street,,ALBURY,NSW,2640,Riverina/Murray,Residential,120,,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$6,617,279"
Mercy Place Boronia,7-9 Maryville Way,,BORONIA,VIC,3155,Eastern Metro,Residential,58,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$1,737,859"
Mercy Place Colac,83-99 Queen Street,,COLAC,VIC,3250,Barwon-South Western,Residential,109,,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$5,957,363"
Mercy Place East Melbourne,22 Verona Lane,,EAST MELBOURNE,VIC,3002,Western Metro,Residential,110,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$6,673,257"
Mercy Place Fernhill,18-20 Fernhill Road,,SANDRINGHAM,VIC,3191,Southern Metro,Residential,120,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$1,012,547"
Mercy Place Lathlain,63 Archer Street,,CARLISLE,WA,6101,Metropolitan South East,Residential,67,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$4,359,405"
Mercy Place Mandurah,1 Hungerford Avenue,,HALLS HEAD,WA,6210,Metropolitan South West,Residential,83,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$5,831,855"
Mercy Place Mont Clare,9 Dean Street,,CLAREMONT,WA,6010,Metropolitan North,Residential,73,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$3,862,101"
Mercy Place Montrose (Hostel),991 Mount Dandenong Tourist Road,,MONTROSE,VIC,3765,Eastern Metro,Residential,54,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$2,558,606"
Mercy Place Montrose (Nursing Home),991 Mount Dandenong Tourist Road,,MONTROSE,VIC,3765,Eastern Metro,Residential,56,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$3,828,944"
Mercy Place Mount St Joseph's,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Residential,65,,,,Mercy Care Centre Young,Charitable,Inner Regional Australia,"$4,120,195"
Mercy Place Parkville,1  WILLAM STREET,,PARKVILLE,VIC,3052,Western Metro,Residential,140,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$8,611,197"
Mercy Place Rice Village,2-26 Marshalltown Road,,MARSHALL,VIC,3216,Barwon-South Western,Residential,92,,,,Rice Village Ltd,Religious,Major Cities of Australia,"$3,392,487"
Mercy Place Shepparton,351-359 Archer Street,,SHEPPARTON,VIC,3630,Hume,Residential,96,,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$5,153,642"
Mercy Place Warrnambool,16 Hopetoun Road,,WARRNAMBOOL,VIC,3280,Barwon-South Western,Residential,120,,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$5,272,864"
Mercy Place Westcourt,257 GATTON Street,,WESTCOURT,QLD,4870,Far North,Residential,91,,,,Mercy Health & Aged Care Inc,Charitable,Outer Regional Australia,"$4,125,077"
Mercy Place Woree,85 Toogood Road,,WOREE,QLD,4868,Far North,Residential,75,,,,Mercy Health & Aged Care Inc,Charitable,Outer Regional Australia,"$4,031,687"
Mercy Place Wyndham,39 DEUTGAM Street,,WERRIBEE,VIC,3030,Western Metro,Residential,110,,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$7,237,987"
Mercyville Hostel,254 Camberwarra Drive,,CRAIGIE,WA,6025,Metropolitan North,Residential,17,,,,The Saint Brigids Convent of Mercy Perth Inc,Religious,Major Cities of Australia,"$952,913"
Meredith House Nursing Home,30-32 Meredith Street,,STRATHFIELD,NSW,2135,Inner West,Residential,63,,,,Paston Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,707,344"
Merimbula Home Nursing Service,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care Places,,,26,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$1,148,824"
Merimbula Home Nursing Service - CACP,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care Places,,27,,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$374,015"
Merimbula Home Nursing Service - Dementia EACH,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care Places,,,19,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$812,497"
Merindah Lodge Aged Care Facility,1-3 York Street,,CAMPERDOWN,VIC,3260,Barwon-South Western,Residential,8,,,,South West Healthcare,State Government,Inner Regional Australia,"$347,570"
Merindah Lodge Nursing Home,1-3 York Street,,CAMPERDOWN,VIC,3260,Barwon-South Western,Residential,28,,,,South West Healthcare,State Government,Inner Regional Australia,"$1,522,724"
Mermaid Beach Aged Care Residence,2424 Gold Coast Highway,,MERMAID BEACH,QLD,4218,South Coast,Residential,81,,,,TriCare (Mermaid Beach) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,827,001"
Merrimac Park Private Care,50-52 Macadie Way,,MERRIMAC,QLD,4226,South Coast,Residential,96,,,,Superior Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,268,501"
Merriwa Multi-Purpose Service,60 Mackenzie Street,,MERRIWA,NSW,2329,Hunter,Multi-Purpose Service,15,,,,Hunter New England Local Health District,State Government,Outer Regional Australia,"$758,185"
Merrylands Aged Care Centre,42 Cumberland Road,,GREYSTANES,NSW,2145,Western Sydney,Residential,131,,,,Kenna Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$9,500,632"
Merton Court Hostel,91 Virginia Street,,DENMAN,NSW,2328,Hunter,Residential,17,,,,Denman and District Retirement Centre Association Inc,Community Based,Inner Regional Australia,"$1,008,382"
Merv Irvine Nursing Home,1231 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Residential,30,,,,Melbourne Health,State Government,Major Cities of Australia,"$1,715,897"
Metro North Transition Care Service,Eventide Dolphin House,449 Beaconsfield Terrace,BRIGHTON,QLD,4017,Brisbane North,Transition Care,,,,140,Queensland Health,State Government,Major Cities of Australia,"$9,511,123"
Metro South Transition Care Service,7 Clunies Ross Court,,EIGHT MILE PLAINS,QLD,4113,Brisbane South,Transition Care,,,,146,Queensland Health,State Government,Major Cities of Australia,"$8,374,270"
MiCare Gippsland,63 Church Street,,MORWELL,VIC,3840,Gippsland,Home Care Places,,12,,,DutchCare Ltd,Community Based,Inner Regional Australia,n.a.
MiCare SMR,1105 Frankston - Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Home Care Places,,6,23,,DutchCare Ltd,Community Based,Major Cities of Australia,"$36,147"
Mid North Coast Area Health Service CACPs,19-31 Morton Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care Places,,20,,,Mid North Coast Local Health District,State Government,Inner Regional Australia,"$215,615"
Mid North Coast Community Care,140 A VICTORIA Street,,TAREE,NSW,2430,Mid North Coast,Home Care Places,,23,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,"$272,092"
Mid North Coast Flexible Care,140 A VICTORIA Street,,TAREE,NSW,2430,Mid North Coast,Home Care Places,,,5,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,"$224,118"
Mid North Coast In Home Dementia,140 A VICTORIA Street,,TAREE,NSW,2430,Mid North Coast,Home Care Places,,,3,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,"$127,414"
Mid North Community Care,6/182 Ellen Street,,PORT PIRIE,SA,5540,Mid North,Home Care Places,,,31,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,"$1,399,378"
Mid North Community Care EACHP (Dementia Specific),6/182 Ellen Street,,PORT PIRIE,SA,5540,Mid North,Home Care Places,,,10,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,"$453,443"
Mid North Community Care Packages,6/182 Ellen Street,,PORT PIRIE,SA,5540,Mid North,Home Care Places,,138,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,"$1,199,569"
Mid West - Elliston MPS,3 Memorial Drive,,ELLISTON,SA,5670,Eyre Peninsula,Multi-Purpose Service,16,,,,Mid-West Health & Aged Care Inc,State Government,Very Remote Australia,"$818,500"
Mid West - Streaky Bay MPS,3 Flinders Drive,,STREAKY BAY,SA,5680,Eyre Peninsula,Multi-Purpose Service,17,,,,Mid-West Health & Aged Care Inc,State Government,Remote Australia,"$617,806"
Mid West - Wudinna MPS,16 RICHARDS Avenue,,WUDINNA,SA,5652,Eyre Peninsula,Multi-Purpose Service,10,,,,Mid-West Health & Aged Care Inc,State Government,Very Remote Australia,"$654,592"
Midjum Cottage,3 Paulsgrove Street,,GWYNNEVILLE,NSW,2500,Illawarra,Home Care Places,,3,,,House With No Steps,Community Based,Major Cities of Australia,n.a.
Midland Nursing Home,44 John Street,,MIDLAND,WA,6056,Metropolitan East,Residential,110,,,,Labouchere Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,408,746"
Midlands Multipurpose Health Centre,13 Church Street,,OATLANDS,TAS,7120,Southern,Residential,9,,,,Tasmanian Health Organisation - South,State Government,Outer Regional Australia,"$401,440"
Midlands Multipurpose Health Centre,13 Church Street,,OATLANDS,TAS,7120,Southern,Residential,9,,,,Tasmanian Health Organisation - South,State Government,Outer Regional Australia,"$512,526"
Migrant Resource Centre Community Aged Care Packages,49 Molle Street,,HOBART,TAS,7000,Southern,Home Care Places,,39,15,,Migrant Resource Centre (Southern Tas) Inc,Community Based,Inner Regional Australia,"$707,144"
Migrant Resource Centre EACH Dementia Service,49 Molle Street,,HOBART,TAS,7000,Southern,Home Care Places,,,4,,Migrant Resource Centre (Southern Tas) Inc,Community Based,Inner Regional Australia,"$204,134"
Mihealth Community Care Program,60 TANTI Avenue,,MORNINGTON,VIC,3931,Southern Metro,Home Care Places,,30,,,Peninsula Health,State Government,Major Cities of Australia,"$415,817"
Mildura Base Hospital Transition Care Program,231 13TH Street,,MILDURA,VIC,3500,Loddon-Mallee,Transition Care,,,,16,Department of Health,State Government,Outer Regional Australia,"$1,046,293"
Milford House Nursing Home,2-4 Milford Street,,RANDWICK,NSW,2031,South East Sydney,Residential,45,,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,808,099"
Millhaven Lodge,52  PRINCES HIGHWAY,,PAKENHAM,VIC,3810,Southern Metro,Residential,104,,,,Pakenham & District Hospital Inc,Community Based,Inner Regional Australia,"$5,962,638"
Millmerran Health Service,50-60 Commens Street,,MILLMERRAN,QLD,4357,Darling Downs,Home Care Places,,8,,,Queensland Health,State Government,Inner Regional Australia,"$102,945"
Millmerran Multipurpose Health Service,50 Commens Street,,MILLMERRAN,QLD,4357,Darling Downs,Multi-Purpose Service,5,3,,,Queensland Health,State Government,Inner Regional Australia,"$325,104"
Millrace Hostel,422 Rouse Street,,TENTERFIELD,NSW,2372,New England,Residential,36,,,,Tenterfield Care Centre Limited,Charitable,Outer Regional Australia,"$1,151,933"
Millward,31 Blackburn Road,,DONCASTER EAST,VIC,3109,Eastern Metro,Residential,163,,,,Aged Care Services 16 (Millward) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,706,526"
Milpara Aged Care Facility,147 St Bernards Road,,ROSTREVOR,SA,5073,Metropolitan East,Residential,92,,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$5,652,329"
Milton House,67 -69 Marian Street,,MILES,QLD,4415,Darling Downs,Residential,14,,,,Queensland Health,State Government,Outer Regional Australia,"$858,215"
Minchinbury Manor,2 John Street,,ROOTY HILL,NSW,2766,Western Sydney,Residential,104,,,,Australasian Accommodation Aged Care Pty Limited,Private Incorporated Body,Major Cities of Australia,"$6,471,249"
Minda Community Aged Care Packages,12 KING GEORGE Avenue,,NORTH BRIGHTON,SA,5048,Metropolitan South,Home Care Places,,29,10,,Minda Incorporated,Charitable,Major Cities of Australia,"$353,322"
Minda Nursing Home,12 KING GEORGE Avenue,,NORTH BRIGHTON,SA,5048,Metropolitan South,Residential,54,,,,Minda Incorporated,Charitable,Major Cities of Australia,"$4,107,032"
Mingaletta,7 Sherwood Road,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,110,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,"$6,410,627"
Mingarra Hostel,77-115 Mount Dandenong Road,,CROYDON,VIC,3136,Eastern Metro,Residential,59,,,,Aveo Retirement Homes Limited,Private Incorporated Body,Major Cities of Australia,"$2,787,892"
Minyerri Aged Care,Minyerri Community,,HODGSON DOWNS,NT,852,Katherine,Home Care Places,,5,,,Alawa Aboriginal Corporation,Community Based,Very Remote Australia,"$55,252"
Miranda Aged Care Facility,268 Port Hacking Road,,MIRANDA,NSW,2228,South East Sydney,Residential,80,,,,Doherty & Associates Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,150,276"
Mirrambeena,21 Farrelly Street,,MARGARET RIVER,WA,6285,South West,Residential,46,,,,Baptistcare Incorporated,Religious,Inner Regional Australia,"$2,941,788"
Mirridong,92  MCIVOR ROAD,,KENNINGTON,VIC,3550,Loddon-Mallee,Residential,90,,,,Aged Care Services Six (Mirridong) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$5,565,364"
Mitcham Residential Care Facility,22 Harrow Terrace,,KINGSWOOD,SA,5062,Metropolitan South,Residential,38,,,,Aged Care Services 38 (Mitcham) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,115,301"
Mitchell Community Health Service,72 Ferguson Street,,BROADFORD,VIC,3658,Hume,Home Care Places,,6,,,Mitchell Community Health Service Limited,Community Based,Inner Regional Australia,"$45,696"
Mitchell House Hostel,127 Vary Street,,MORWELL,VIC,3840,Gippsland,Residential,56,,,,Mitchell House Inc,Community Based,Inner Regional Australia,"$2,054,565"
Mitchell Multipurpose Health Service,1 Ann Street,,MITCHELL,QLD,4465,South West,Multi-Purpose Service,17,8,,,Queensland Health,State Government,Very Remote Australia,"$1,062,300"
Mitchelton EACH,46 Church Road,,MITCHELTON,QLD,4053,Brisbane North,Home Care Places,,,20,,St Vincent's Health & Aged Care Limited,Religious,Major Cities of Australia,"$950,239"
Moline House,7 Deanmore Road,,KARRINYUP,WA,6018,Metropolitan North,Residential,60,,,,Amana Living Incorporated,Religious,Major Cities of Australia,"$2,661,125"
Mona Vale House Nursing Home,27-35 Bassett Street,,MONA VALE,NSW,2103,Northern Sydney,Residential,64,,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,978,562"
Monash Gardens Hostel,355 Wellington Road,,MULGRAVE,VIC,3170,Eastern Metro,Residential,50,,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,"$1,970,981"
Monash Gardens Nursing Home,355 Wellington Road,,MULGRAVE,VIC,3170,Eastern Metro,Residential,47,,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,"$2,686,807"
Monash Health Transition Care Program,400 WARRIGAL Road,,HEATHERTON,VIC,3202,Southern Metro,Transition Care,,,,78,Department of Health,State Government,Major Cities of Australia,"$5,420,542"
Monda Lodge Hostel,32-36 McGregor Avenue,,HEALESVILLE,VIC,3777,Eastern Metro,Residential,30,,,,Eastern Health,State Government,Inner Regional Australia,"$684,411"
Monreith Aged Care Facility,401 Portrush Road,,TOORAK GARDENS,SA,5065,Metropolitan East,Residential,37,,,,Monreith Aged Care Facility Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,072,429"
Montana Aged Care Facility,36-38 Harbour Street,,MOSMAN,NSW,2088,Northern Sydney,Residential,64,,,,Montana Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,667,758"
Montclaire,18 Montclair Avenue,,BRIGHTON,VIC,3186,Southern Metro,Residential,36,,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,495,763"
Montefiore HomeCare,37 Dangar Street,,RANDWICK,NSW,2031,South East Sydney,Home Care Places,,29,10,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,"$670,711"
Montefiore HomeCare Northern Sydney,120 High Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Home Care Places,,45,12,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,"$697,412"
Montefiore Homes Community Residence,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Residential,110,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,"$4,541,449"
Montrose Aged Care Plus Centre,13 Thames Street,,BALMAIN,NSW,2041,Inner West,Residential,44,,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,"$3,204,339"
Moonah Park Retirement Village (ccp),28 Blaker Road,,MITCHELTON,QLD,4053,Brisbane North,Home Care Places,,40,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,"$338,524"
